slide,query,outliers_count
38000,"(10000,500,1.9,50)",45
38500,"(10000,500,1.9,50)",47
39000,"(10000,500,1.9,50)",31
39500,"(10000,500,1.9,50)",30
40000,"(10000,500,1.9,50)",29
40500,"(10000,500,1.9,50)",12
41000,"(10000,500,1.9,50)",12
41500,"(10000,500,1.9,50)",12
42000,"(10000,500,1.9,50)",8
42500,"(10000,500,1.9,50)",9
43000,"(10000,500,1.9,50)",18
43500,"(10000,500,1.9,50)",18
44000,"(10000,500,1.9,50)",18
44500,"(10000,500,1.9,50)",18
45000,"(10000,500,1.9,50)",18
45500,"(10000,500,1.9,50)",18
46000,"(10000,500,1.9,50)",14
46500,"(10000,500,1.9,50)",14
47000,"(10000,500,1.9,50)",14
47500,"(10000,500,1.9,50)",14
48000,"(10000,500,1.9,50)",14
48500,"(10000,500,1.9,50)",14
49000,"(10000,500,1.9,50)",20
49500,"(10000,500,1.9,50)",20
50000,"(10000,500,1.9,50)",20
50500,"(10000,500,1.9,50)",19
51000,"(10000,500,1.9,50)",13
51500,"(10000,500,1.9,50)",13
52000,"(10000,500,1.9,50)",12
52500,"(10000,500,1.9,50)",12
53000,"(10000,500,1.9,50)",4
53500,"(10000,500,1.9,50)",4
54000,"(10000,500,1.9,50)",5
54500,"(10000,500,1.9,50)",5
55000,"(10000,500,1.9,50)",5
55500,"(10000,500,1.9,50)",5
56000,"(10000,500,1.9,50)",14
56500,"(10000,500,1.9,50)",48
57000,"(10000,500,1.9,50)",53
57500,"(10000,500,1.9,50)",46
58000,"(10000,500,1.9,50)",52
58500,"(10000,500,1.9,50)",61
59000,"(10000,500,1.9,50)",66
59500,"(10000,500,1.9,50)",70
60000,"(10000,500,1.9,50)",72
60500,"(10000,500,1.9,50)",73
61000,"(10000,500,1.9,50)",69
61500,"(10000,500,1.9,50)",68
62000,"(10000,500,1.9,50)",68
62500,"(10000,500,1.9,50)",83
63000,"(10000,500,1.9,50)",73
63500,"(10000,500,1.9,50)",74
64000,"(10000,500,1.9,50)",75
64500,"(10000,500,1.9,50)",86
65000,"(10000,500,1.9,50)",106
65500,"(10000,500,1.9,50)",108
66000,"(10000,500,1.9,50)",107
66500,"(10000,500,1.9,50)",71
67000,"(10000,500,1.9,50)",71
67500,"(10000,500,1.9,50)",72
68000,"(10000,500,1.9,50)",85
68500,"(10000,500,1.9,50)",109
69000,"(10000,500,1.9,50)",110
69500,"(10000,500,1.9,50)",109
70000,"(10000,500,1.9,50)",111
70500,"(10000,500,1.9,50)",111
71000,"(10000,500,1.9,50)",111
71500,"(10000,500,1.9,50)",111
72000,"(10000,500,1.9,50)",111
72500,"(10000,500,1.9,50)",112
73000,"(10000,500,1.9,50)",114
73500,"(10000,500,1.9,50)",117
74000,"(10000,500,1.9,50)",115
74500,"(10000,500,1.9,50)",100
75000,"(10000,500,1.9,50)",82
75500,"(10000,500,1.9,50)",78
76000,"(10000,500,1.9,50)",73
76500,"(10000,500,1.9,50)",84
77000,"(10000,500,1.9,50)",86
77500,"(10000,500,1.9,50)",81
78000,"(10000,500,1.9,50)",66
78500,"(10000,500,1.9,50)",18
79000,"(10000,500,1.9,50)",26
79500,"(10000,500,1.9,50)",27
80000,"(10000,500,1.9,50)",24
80500,"(10000,500,1.9,50)",27
81000,"(10000,500,1.9,50)",34
81500,"(10000,500,1.9,50)",32
82000,"(10000,500,1.9,50)",39
82500,"(10000,500,1.9,50)",42
83000,"(10000,500,1.9,50)",30
83500,"(10000,500,1.9,50)",31
84000,"(10000,500,1.9,50)",31
84500,"(10000,500,1.9,50)",36
85000,"(10000,500,1.9,50)",36
85500,"(10000,500,1.9,50)",36
86000,"(10000,500,1.9,50)",36
86500,"(10000,500,1.9,50)",49
87000,"(10000,500,1.9,50)",42
87500,"(10000,500,1.9,50)",44
88000,"(10000,500,1.9,50)",44
88500,"(10000,500,1.9,50)",44
89000,"(10000,500,1.9,50)",58
89500,"(10000,500,1.9,50)",49
90000,"(10000,500,1.9,50)",44
90500,"(10000,500,1.9,50)",43
91000,"(10000,500,1.9,50)",45
91500,"(10000,500,1.9,50)",45
92000,"(10000,500,1.9,50)",41
92500,"(10000,500,1.9,50)",35
93000,"(10000,500,1.9,50)",35
93500,"(10000,500,1.9,50)",33
94000,"(10000,500,1.9,50)",35
94500,"(10000,500,1.9,50)",33
95000,"(10000,500,1.9,50)",35
95500,"(10000,500,1.9,50)",35
96000,"(10000,500,1.9,50)",35
96500,"(10000,500,1.9,50)",9
97000,"(10000,500,1.9,50)",8
97500,"(10000,500,1.9,50)",6
98000,"(10000,500,1.9,50)",8
98500,"(10000,500,1.9,50)",9
99000,"(10000,500,1.9,50)",10
99500,"(10000,500,1.9,50)",10
100000,"(10000,500,1.9,50)",27
100500,"(10000,500,1.9,50)",28
101000,"(10000,500,1.9,50)",27
101500,"(10000,500,1.9,50)",25
102000,"(10000,500,1.9,50)",36
102500,"(10000,500,1.9,50)",36
103000,"(10000,500,1.9,50)",28
103500,"(10000,500,1.9,50)",33
104000,"(10000,500,1.9,50)",30
104500,"(10000,500,1.9,50)",30
105000,"(10000,500,1.9,50)",30
105500,"(10000,500,1.9,50)",30
106000,"(10000,500,1.9,50)",30
106500,"(10000,500,1.9,50)",29
107000,"(10000,500,1.9,50)",29
107500,"(10000,500,1.9,50)",29
108000,"(10000,500,1.9,50)",32
108500,"(10000,500,1.9,50)",32
109000,"(10000,500,1.9,50)",32
109500,"(10000,500,1.9,50)",33
110000,"(10000,500,1.9,50)",27
110500,"(10000,500,1.9,50)",27
111000,"(10000,500,1.9,50)",27
111500,"(10000,500,1.9,50)",28
112000,"(10000,500,1.9,50)",28
112500,"(10000,500,1.9,50)",25
113000,"(10000,500,1.9,50)",30
113500,"(10000,500,1.9,50)",52
114000,"(10000,500,1.9,50)",57
114500,"(10000,500,1.9,50)",62
115000,"(10000,500,1.9,50)",64
115500,"(10000,500,1.9,50)",72
116000,"(10000,500,1.9,50)",72
116500,"(10000,500,1.9,50)",79
117000,"(10000,500,1.9,50)",84
117500,"(10000,500,1.9,50)",88
118000,"(10000,500,1.9,50)",53
118500,"(10000,500,1.9,50)",60
119000,"(10000,500,1.9,50)",69
119500,"(10000,500,1.9,50)",80
120000,"(10000,500,1.9,50)",84
120500,"(10000,500,1.9,50)",91
121000,"(10000,500,1.9,50)",94
121500,"(10000,500,1.9,50)",92
122000,"(10000,500,1.9,50)",93
122500,"(10000,500,1.9,50)",99
123000,"(10000,500,1.9,50)",99
123500,"(10000,500,1.9,50)",141
124000,"(10000,500,1.9,50)",143
124500,"(10000,500,1.9,50)",138
125000,"(10000,500,1.9,50)",136
125500,"(10000,500,1.9,50)",137
126000,"(10000,500,1.9,50)",134
126500,"(10000,500,1.9,50)",130
127000,"(10000,500,1.9,50)",140
127500,"(10000,500,1.9,50)",156
128000,"(10000,500,1.9,50)",153
128500,"(10000,500,1.9,50)",193
129000,"(10000,500,1.9,50)",180
129500,"(10000,500,1.9,50)",187
130000,"(10000,500,1.9,50)",184
130500,"(10000,500,1.9,50)",177
131000,"(10000,500,1.9,50)",175
131500,"(10000,500,1.9,50)",164
132000,"(10000,500,1.9,50)",164
132500,"(10000,500,1.9,50)",143
133000,"(10000,500,1.9,50)",144
133500,"(10000,500,1.9,50)",105
134000,"(10000,500,1.9,50)",98
134500,"(10000,500,1.9,50)",97
135000,"(10000,500,1.9,50)",95
135500,"(10000,500,1.9,50)",95
136000,"(10000,500,1.9,50)",96
136500,"(10000,500,1.9,50)",94
137000,"(10000,500,1.9,50)",94
137500,"(10000,500,1.9,50)",81
138000,"(10000,500,1.9,50)",81
138500,"(10000,500,1.9,50)",31
139000,"(10000,500,1.9,50)",31
139500,"(10000,500,1.9,50)",53
140000,"(10000,500,1.9,50)",61
140500,"(10000,500,1.9,50)",52
141000,"(10000,500,1.9,50)",51
141500,"(10000,500,1.9,50)",51
142000,"(10000,500,1.9,50)",53
142500,"(10000,500,1.9,50)",53
143000,"(10000,500,1.9,50)",53
143500,"(10000,500,1.9,50)",53
144000,"(10000,500,1.9,50)",56
144500,"(10000,500,1.9,50)",65
145000,"(10000,500,1.9,50)",70
145500,"(10000,500,1.9,50)",72
146000,"(10000,500,1.9,50)",98
146500,"(10000,500,1.9,50)",101
147000,"(10000,500,1.9,50)",73
147500,"(10000,500,1.9,50)",70
148000,"(10000,500,1.9,50)",70
148500,"(10000,500,1.9,50)",70
149000,"(10000,500,1.9,50)",70
149500,"(10000,500,1.9,50)",42
150000,"(10000,500,1.9,50)",46
150500,"(10000,500,1.9,50)",55
151000,"(10000,500,1.9,50)",55
151500,"(10000,500,1.9,50)",55
152000,"(10000,500,1.9,50)",66
152500,"(10000,500,1.9,50)",61
153000,"(10000,500,1.9,50)",60
153500,"(10000,500,1.9,50)",61
154000,"(10000,500,1.9,50)",58
154500,"(10000,500,1.9,50)",55
155000,"(10000,500,1.9,50)",60
155500,"(10000,500,1.9,50)",64
156000,"(10000,500,1.9,50)",58
156500,"(10000,500,1.9,50)",58
157000,"(10000,500,1.9,50)",62
157500,"(10000,500,1.9,50)",62
158000,"(10000,500,1.9,50)",63
158500,"(10000,500,1.9,50)",64
159000,"(10000,500,1.9,50)",64
159500,"(10000,500,1.9,50)",63
160000,"(10000,500,1.9,50)",62
160500,"(10000,500,1.9,50)",78
161000,"(10000,500,1.9,50)",72
161500,"(10000,500,1.9,50)",73
162000,"(10000,500,1.9,50)",90
162500,"(10000,500,1.9,50)",78
163000,"(10000,500,1.9,50)",77
163500,"(10000,500,1.9,50)",70
164000,"(10000,500,1.9,50)",69
164500,"(10000,500,1.9,50)",72
165000,"(10000,500,1.9,50)",66
165500,"(10000,500,1.9,50)",60
166000,"(10000,500,1.9,50)",62
166500,"(10000,500,1.9,50)",64
167000,"(10000,500,1.9,50)",63
167500,"(10000,500,1.9,50)",73
168000,"(10000,500,1.9,50)",75
168500,"(10000,500,1.9,50)",88
169000,"(10000,500,1.9,50)",81
169500,"(10000,500,1.9,50)",96
170000,"(10000,500,1.9,50)",97
170500,"(10000,500,1.9,50)",83
171000,"(10000,500,1.9,50)",83
171500,"(10000,500,1.9,50)",88
172000,"(10000,500,1.9,50)",76
172500,"(10000,500,1.9,50)",77
173000,"(10000,500,1.9,50)",86
173500,"(10000,500,1.9,50)",86
174000,"(10000,500,1.9,50)",92
174500,"(10000,500,1.9,50)",86
175000,"(10000,500,1.9,50)",86
175500,"(10000,500,1.9,50)",85
176000,"(10000,500,1.9,50)",82
176500,"(10000,500,1.9,50)",80
177000,"(10000,500,1.9,50)",75
177500,"(10000,500,1.9,50)",69
178000,"(10000,500,1.9,50)",65
178500,"(10000,500,1.9,50)",52
179000,"(10000,500,1.9,50)",39
179500,"(10000,500,1.9,50)",23
180000,"(10000,500,1.9,50)",42
180500,"(10000,500,1.9,50)",23
181000,"(10000,500,1.9,50)",21
181500,"(10000,500,1.9,50)",24
182000,"(10000,500,1.9,50)",22
182500,"(10000,500,1.9,50)",21
183000,"(10000,500,1.9,50)",28
183500,"(10000,500,1.9,50)",28
184000,"(10000,500,1.9,50)",28
184500,"(10000,500,1.9,50)",27
185000,"(10000,500,1.9,50)",27
185500,"(10000,500,1.9,50)",15
186000,"(10000,500,1.9,50)",15
186500,"(10000,500,1.9,50)",15
187000,"(10000,500,1.9,50)",15
187500,"(10000,500,1.9,50)",15
188000,"(10000,500,1.9,50)",11
188500,"(10000,500,1.9,50)",2
189000,"(10000,500,1.9,50)",2
189500,"(10000,500,1.9,50)",2
190000,"(10000,500,1.9,50)",17
190500,"(10000,500,1.9,50)",0
191000,"(10000,500,1.9,50)",0
191500,"(10000,500,1.9,50)",0
192000,"(10000,500,1.9,50)",0
192500,"(10000,500,1.9,50)",0
193000,"(10000,500,1.9,50)",0
193500,"(10000,500,1.9,50)",0
194000,"(10000,500,1.9,50)",0
194500,"(10000,500,1.9,50)",1
195000,"(10000,500,1.9,50)",1
195500,"(10000,500,1.9,50)",1
196000,"(10000,500,1.9,50)",38
196500,"(10000,500,1.9,50)",38
197000,"(10000,500,1.9,50)",43
197500,"(10000,500,1.9,50)",40
198000,"(10000,500,1.9,50)",40
198500,"(10000,500,1.9,50)",52
199000,"(10000,500,1.9,50)",52
199500,"(10000,500,1.9,50)",68
200000,"(10000,500,1.9,50)",50
200500,"(10000,500,1.9,50)",44
201000,"(10000,500,1.9,50)",44
201500,"(10000,500,1.9,50)",44
202000,"(10000,500,1.9,50)",43
202500,"(10000,500,1.9,50)",43
203000,"(10000,500,1.9,50)",43
203500,"(10000,500,1.9,50)",43
204000,"(10000,500,1.9,50)",43
204500,"(10000,500,1.9,50)",43
205000,"(10000,500,1.9,50)",39
205500,"(10000,500,1.9,50)",39
206000,"(10000,500,1.9,50)",2
206500,"(10000,500,1.9,50)",2
207000,"(10000,500,1.9,50)",4
207500,"(10000,500,1.9,50)",4
208000,"(10000,500,1.9,50)",4
208500,"(10000,500,1.9,50)",4
209000,"(10000,500,1.9,50)",10
209500,"(10000,500,1.9,50)",29
210000,"(10000,500,1.9,50)",26
210500,"(10000,500,1.9,50)",16
211000,"(10000,500,1.9,50)",16
211500,"(10000,500,1.9,50)",16
212000,"(10000,500,1.9,50)",11
212500,"(10000,500,1.9,50)",11
213000,"(10000,500,1.9,50)",3
213500,"(10000,500,1.9,50)",3
214000,"(10000,500,1.9,50)",10
214500,"(10000,500,1.9,50)",10
215000,"(10000,500,1.9,50)",10
215500,"(10000,500,1.9,50)",10
216000,"(10000,500,1.9,50)",10
216500,"(10000,500,1.9,50)",10
217000,"(10000,500,1.9,50)",10
217500,"(10000,500,1.9,50)",7
218000,"(10000,500,1.9,50)",8
218500,"(10000,500,1.9,50)",8
219000,"(10000,500,1.9,50)",8
219500,"(10000,500,1.9,50)",1
220000,"(10000,500,1.9,50)",1
220500,"(10000,500,1.9,50)",1
221000,"(10000,500,1.9,50)",1
221500,"(10000,500,1.9,50)",1
222000,"(10000,500,1.9,50)",5
222500,"(10000,500,1.9,50)",3
223000,"(10000,500,1.9,50)",3
223500,"(10000,500,1.9,50)",3
224000,"(10000,500,1.9,50)",3
224500,"(10000,500,1.9,50)",3
225000,"(10000,500,1.9,50)",0
225500,"(10000,500,1.9,50)",4
226000,"(10000,500,1.9,50)",2
226500,"(10000,500,1.9,50)",2
227000,"(10000,500,1.9,50)",1
227500,"(10000,500,1.9,50)",6
228000,"(10000,500,1.9,50)",2
228500,"(10000,500,1.9,50)",2
229000,"(10000,500,1.9,50)",2
229500,"(10000,500,1.9,50)",1
230000,"(10000,500,1.9,50)",1
230500,"(10000,500,1.9,50)",0
231000,"(10000,500,1.9,50)",0
231500,"(10000,500,1.9,50)",0
232000,"(10000,500,1.9,50)",0
232500,"(10000,500,1.9,50)",0
233000,"(10000,500,1.9,50)",16
233500,"(10000,500,1.9,50)",13
234000,"(10000,500,1.9,50)",8
234500,"(10000,500,1.9,50)",8
235000,"(10000,500,1.9,50)",9
235500,"(10000,500,1.9,50)",11
236000,"(10000,500,1.9,50)",21
236500,"(10000,500,1.9,50)",26
237000,"(10000,500,1.9,50)",29
237500,"(10000,500,1.9,50)",29
238000,"(10000,500,1.9,50)",28
238500,"(10000,500,1.9,50)",34
239000,"(10000,500,1.9,50)",32
239500,"(10000,500,1.9,50)",32
240000,"(10000,500,1.9,50)",32
240500,"(10000,500,1.9,50)",27
241000,"(10000,500,1.9,50)",27
241500,"(10000,500,1.9,50)",27
242000,"(10000,500,1.9,50)",27
242500,"(10000,500,1.9,50)",28
243000,"(10000,500,1.9,50)",28
243500,"(10000,500,1.9,50)",28
244000,"(10000,500,1.9,50)",44
244500,"(10000,500,1.9,50)",41
245000,"(10000,500,1.9,50)",21
245500,"(10000,500,1.9,50)",26
246000,"(10000,500,1.9,50)",28
246500,"(10000,500,1.9,50)",28
247000,"(10000,500,1.9,50)",28
247500,"(10000,500,1.9,50)",47
248000,"(10000,500,1.9,50)",47
248500,"(10000,500,1.9,50)",47
249000,"(10000,500,1.9,50)",47
249500,"(10000,500,1.9,50)",55
250000,"(10000,500,1.9,50)",53
250500,"(10000,500,1.9,50)",52
251000,"(10000,500,1.9,50)",52
251500,"(10000,500,1.9,50)",52
252000,"(10000,500,1.9,50)",52
252500,"(10000,500,1.9,50)",56
253000,"(10000,500,1.9,50)",58
253500,"(10000,500,1.9,50)",58
254000,"(10000,500,1.9,50)",54
254500,"(10000,500,1.9,50)",53
255000,"(10000,500,1.9,50)",55
255500,"(10000,500,1.9,50)",58
256000,"(10000,500,1.9,50)",56
256500,"(10000,500,1.9,50)",55
257000,"(10000,500,1.9,50)",63
257500,"(10000,500,1.9,50)",36
258000,"(10000,500,1.9,50)",36
258500,"(10000,500,1.9,50)",35
259000,"(10000,500,1.9,50)",35
259500,"(10000,500,1.9,50)",28
260000,"(10000,500,1.9,50)",20
260500,"(10000,500,1.9,50)",20
261000,"(10000,500,1.9,50)",20
261500,"(10000,500,1.9,50)",20
262000,"(10000,500,1.9,50)",20
262500,"(10000,500,1.9,50)",26
263000,"(10000,500,1.9,50)",26
263500,"(10000,500,1.9,50)",25
264000,"(10000,500,1.9,50)",24
264500,"(10000,500,1.9,50)",24
265000,"(10000,500,1.9,50)",25
265500,"(10000,500,1.9,50)",24
266000,"(10000,500,1.9,50)",24
266500,"(10000,500,1.9,50)",29
267000,"(10000,500,1.9,50)",22
267500,"(10000,500,1.9,50)",11
268000,"(10000,500,1.9,50)",9
268500,"(10000,500,1.9,50)",11
269000,"(10000,500,1.9,50)",12
269500,"(10000,500,1.9,50)",12
270000,"(10000,500,1.9,50)",12
270500,"(10000,500,1.9,50)",9
271000,"(10000,500,1.9,50)",20
271500,"(10000,500,1.9,50)",34
272000,"(10000,500,1.9,50)",38
272500,"(10000,500,1.9,50)",22
273000,"(10000,500,1.9,50)",19
273500,"(10000,500,1.9,50)",52
274000,"(10000,500,1.9,50)",56
274500,"(10000,500,1.9,50)",42
275000,"(10000,500,1.9,50)",51
275500,"(10000,500,1.9,50)",70
276000,"(10000,500,1.9,50)",70
276500,"(10000,500,1.9,50)",71
277000,"(10000,500,1.9,50)",80
277500,"(10000,500,1.9,50)",86
278000,"(10000,500,1.9,50)",90
278500,"(10000,500,1.9,50)",91
279000,"(10000,500,1.9,50)",94
279500,"(10000,500,1.9,50)",94
280000,"(10000,500,1.9,50)",94
280500,"(10000,500,1.9,50)",94
281000,"(10000,500,1.9,50)",94
281500,"(10000,500,1.9,50)",94
282000,"(10000,500,1.9,50)",97
282500,"(10000,500,1.9,50)",112
283000,"(10000,500,1.9,50)",109
283500,"(10000,500,1.9,50)",96
284000,"(10000,500,1.9,50)",90
284500,"(10000,500,1.9,50)",90
285000,"(10000,500,1.9,50)",83
285500,"(10000,500,1.9,50)",64
286000,"(10000,500,1.9,50)",63
286500,"(10000,500,1.9,50)",65
287000,"(10000,500,1.9,50)",52
287500,"(10000,500,1.9,50)",70
288000,"(10000,500,1.9,50)",47
288500,"(10000,500,1.9,50)",46
289000,"(10000,500,1.9,50)",42
289500,"(10000,500,1.9,50)",45
290000,"(10000,500,1.9,50)",45
290500,"(10000,500,1.9,50)",45
291000,"(10000,500,1.9,50)",45
291500,"(10000,500,1.9,50)",47
292000,"(10000,500,1.9,50)",46
292500,"(10000,500,1.9,50)",33
293000,"(10000,500,1.9,50)",33
293500,"(10000,500,1.9,50)",43
294000,"(10000,500,1.9,50)",43
294500,"(10000,500,1.9,50)",43
295000,"(10000,500,1.9,50)",43
295500,"(10000,500,1.9,50)",43
296000,"(10000,500,1.9,50)",43
296500,"(10000,500,1.9,50)",49
297000,"(10000,500,1.9,50)",49
297500,"(10000,500,1.9,50)",51
298000,"(10000,500,1.9,50)",46
298500,"(10000,500,1.9,50)",46
299000,"(10000,500,1.9,50)",33
299500,"(10000,500,1.9,50)",37
300000,"(10000,500,1.9,50)",37
300500,"(10000,500,1.9,50)",55
301000,"(10000,500,1.9,50)",55
301500,"(10000,500,1.9,50)",55
302000,"(10000,500,1.9,50)",47
302500,"(10000,500,1.9,50)",47
303000,"(10000,500,1.9,50)",47
303500,"(10000,500,1.9,50)",47
304000,"(10000,500,1.9,50)",47
304500,"(10000,500,1.9,50)",47
305000,"(10000,500,1.9,50)",58
305500,"(10000,500,1.9,50)",58
306000,"(10000,500,1.9,50)",58
306500,"(10000,500,1.9,50)",60
307000,"(10000,500,1.9,50)",60
307500,"(10000,500,1.9,50)",60
308000,"(10000,500,1.9,50)",64
308500,"(10000,500,1.9,50)",66
309000,"(10000,500,1.9,50)",53
309500,"(10000,500,1.9,50)",13
